hive_id,latitude,longitude,date,clock_time,temperature_F,pressure_hPa,cloudiness_percent,humidity_percent,weather_condition_code,weather_overview
DR_WLKS,36.247479,-81.90097,2026-06-09,07:00,66.2,930.1,91,90,3,Mild and humid morning with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-09,14:00,73.2,930.7,100,85,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-09,19:00,73.0,928.2,88,79,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-10,07:00,64.7,925.9,99,90,3,Mild and humid morning with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-10,14:00,77.4,927.3,100,70,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-10,19:00,80.0,923.3,0,57,0,Warm and moderately humid evening with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-11,07:00,66.4,923.7,12,84,0,Mild and humid morning with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-11,14:00,83.1,925.9,21,61,1,Warm and moderately humid afternoon with partly cloudy skies and Mainly clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-11,19:00,80.7,924.0,0,60,0,Warm and moderately humid evening with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-12,07:00,69.8,923.3,23,85,51,Mild and humid morning with partly cloudy skies and Light drizzle conditions.
DR_WLKS,36.247479,-81.90097,2026-06-12,14:00,83.4,925.8,37,62,1,Warm and moderately humid afternoon with partly cloudy skies and Mainly clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-12,19:00,80.6,923.8,99,65,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-13,07:00,63.5,922.9,50,89,2,Mild and humid morning with partly cloudy skies and Partly cloudy conditions.
DR_WLKS,36.247479,-81.90097,2026-06-13,14:00,80.2,926.2,28,61,1,Warm and moderately humid afternoon with partly cloudy skies and Mainly clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-13,19:00,81.2,924.5,0,48,0,Warm and moderately humid evening with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-14,07:00,62.4,920.7,0,85,0,Mild and humid morning with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-14,14:00,78.7,923.6,18,64,0,Warm and moderately humid afternoon with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-14,19:00,72.9,919.2,100,82,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-15,07:00,56.9,917.2,3,90,0,Mild and humid morning with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-15,14:00,67.2,920.6,5,66,0,Mild and humid afternoon with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-15,19:00,68.1,920.4,1,62,0,Mild and moderately humid evening with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-16,07:00,55.1,919.0,97,88,3,Mild and humid morning with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-16,14:00,71.8,920.3,36,61,1,Warm and moderately humid afternoon with partly cloudy skies and Mainly clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-16,19:00,67.4,919.7,100,68,3,Mild and humid evening with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-17,07:00,54.9,917.9,2,83,0,Mild and humid morning with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-17,14:00,75.3,920.8,18,62,0,Warm and moderately humid afternoon with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-17,19:00,77.1,920.5,7,50,0,Warm and moderately humid evening with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-18,07:00,67.7,918.3,100,77,3,Mild and humid morning with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-18,14:00,75.6,921.9,100,83,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-18,19:00,72.1,920.2,100,92,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-19,07:00,64.3,918.5,100,98,45,Mild and humid morning with mostly cloudy skies and Fog conditions.
DR_WLKS,36.247479,-81.90097,2026-06-19,14:00,70.8,922.4,27,75,1,Warm and humid afternoon with partly cloudy skies and Mainly clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-19,19:00,71.4,923.2,1,57,0,Warm and moderately humid evening with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-20,07:00,55.2,921.1,99,80,3,Mild and humid morning with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-20,14:00,72.6,925.1,1,51,0,Warm and moderately humid afternoon with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-20,19:00,74.4,923.9,0,51,0,Warm and moderately humid evening with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-21,07:00,57.9,921.4,0,72,0,Mild and humid morning with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-21,14:00,78.6,924.9,2,53,0,Warm and moderately humid afternoon with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-21,19:00,77.1,924.0,67,65,2,Warm and humid evening with mostly cloudy skies and Partly cloudy conditions.
DR_WLKS,36.247479,-81.90097,2026-06-22,07:00,62.9,921.4,0,89,0,Mild and humid morning with mostly clear skies and Clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-22,14:00,79.5,924.5,46,71,1,Warm and humid afternoon with partly cloudy skies and Mainly clear conditions.
DR_WLKS,36.247479,-81.90097,2026-06-22,19:00,71.9,922.5,100,86,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
DR_WLKS,36.247479,-81.90097,2026-06-23,07:00,64.1,920.4,100,96,65,Mild and humid morning with mostly cloudy skies and Heavy rain conditions.
DR_WLKS,36.247479,-81.90097,2026-06-23,14:00,63.4,922.4,100,97,3,Mild and humid afternoon with mostly cloudy skies and Overcast conditions.
