hive_id,latitude,longitude,date,clock_time,temperature_F,pressure_hPa,cloudiness_percent,humidity_percent,weather_condition_code,weather_overview
PRT_1,36.203096,-81.625792,2026-07-02,07:00,64.4,903.2,0,72,0,Mild and humid morning with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-02,14:00,86.7,908.9,1,46,0,Hot and moderately humid afternoon with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-02,19:00,85.3,907.3,0,32,0,Hot and dry evening with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-03,07:00,64.5,904.0,2,63,0,Mild and moderately humid morning with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-03,14:00,86.3,908.6,0,44,0,Hot and moderately humid afternoon with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-03,19:00,85.6,906.8,99,41,3,Hot and moderately humid evening with mostly cloudy skies and Overcast conditions.
PRT_1,36.203096,-81.625792,2026-07-04,07:00,65.0,902.5,0,82,0,Mild and humid morning with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-04,14:00,85.6,905.7,5,41,0,Hot and moderately humid afternoon with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-04,19:00,78.6,902.0,33,72,1,Warm and humid evening with partly cloudy skies and Mainly clear conditions.
PRT_1,36.203096,-81.625792,2026-07-05,07:00,64.8,899.8,38,68,1,Mild and humid morning with partly cloudy skies and Mainly clear conditions.
PRT_1,36.203096,-81.625792,2026-07-05,14:00,77.5,902.8,100,61,3,Warm and moderately humid afternoon with mostly cloudy skies and Overcast conditions.
PRT_1,36.203096,-81.625792,2026-07-05,19:00,76.5,901.0,70,70,2,Warm and humid evening with mostly cloudy skies and Partly cloudy conditions.
PRT_1,36.203096,-81.625792,2026-07-06,07:00,63.1,900.1,17,81,0,Mild and humid morning with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-06,14:00,78.6,903.2,40,73,1,Warm and humid afternoon with partly cloudy skies and Mainly clear conditions.
PRT_1,36.203096,-81.625792,2026-07-06,19:00,72.9,901.5,18,77,0,Warm and humid evening with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-07,07:00,62.7,900.0,0,81,0,Mild and humid morning with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-07,14:00,78.1,903.8,28,66,1,Warm and humid afternoon with partly cloudy skies and Mainly clear conditions.
PRT_1,36.203096,-81.625792,2026-07-07,19:00,75.6,902.5,57,70,2,Warm and humid evening with partly cloudy skies and Partly cloudy conditions.
PRT_1,36.203096,-81.625792,2026-07-08,07:00,63.9,901.7,0,88,0,Mild and humid morning with mostly clear skies and Clear conditions.
PRT_1,36.203096,-81.625792,2026-07-08,14:00,79.9,905.7,45,56,1,Warm and moderately humid afternoon with partly cloudy skies and Mainly clear conditions.
PRT_1,36.203096,-81.625792,2026-07-08,19:00,71.0,902.3,100,74,61,Warm and humid evening with mostly cloudy skies and Slight rain conditions.
